carat,color,depth,table,price
0.28,F,62.6,55,787
0.71,F,62.1,59,2346
0.26,G,62.1,55,478
1,D,64.1,58,6389
1.2,I,59.6,61,5818
0.57,G,63.4,57,1369
0.75,E,62.1,57,2278
0.3,F,62.6,57,570
0.64,F,58.6,61,2980
0.73,E,62,57,2854
0.35,J,62.6,53.7,483
0.52,I,61,58,1310
1.01,D,59.8,56,5394
0.32,F,62.4,56,828
1.01,G,63.1,59,7279
0.59,I,57.8,61,1427
2.04,E,62.7,60,15398
0.56,D,61.4,58,1723
0.39,F,58.8,59,821
0.61,E,59.9,61,3212
0.51,I,62.5,57,1122
0.26,F,63.3,57,564
0.31,G,63.3,57,583
0.7,G,63.7,60,2150
1.16,G,62,57,9526
0.41,H,61.4,60,1115
0.53,E,60,60,1607
1.11,H,59.8,60,4456
0.36,D,60.4,58,851
0.44,I,61.5,58,990
0.73,G,63.9,55,1210
1.08,F,63.1,57,6319
2.01,E,60.4,61,12898
0.7,H,64.5,57,2137
0.45,F,62.6,57,996
0.7,H,58.3,60,2603
0.56,G,62.3,55,2055
0.31,F,61.4,62,625
1.15,G,62.7,56,10644
1.78,H,60.2,59,15601
1.51,H,61.5,58,8752
1.03,G,62.2,57,6539
0.63,J,59.9,64,1134
0.8,H,59.7,58,2263
1.07,F,58.2,58,4319
0.35,G,63.8,54,522
1.34,I,62.2,57,7016
1.14,H,62.1,59,4463
0.55,G,61.2,56,2077
0.51,E,61.5,53,1708
1.15,D,61.7,58,5932
0.78,E,60.9,57,3420
1,F,61.6,61,4452
0.55,F,59.5,61,1410
0.7,F,60.4,58,2196
0.97,F,58.9,58,4020
1.09,I,61.8,57,5904
0.72,F,61.2,58,2300
0.8,F,63.8,55,3603
1.64,J,63,58,5624
0.3,D,62.5,57,670
0.82,F,60.3,57,2723
0.54,F,63,57,1255
1.61,G,61.9,55,14341
0.55,I,61.3,59,1593
1.83,E,62.8,56,13134
0.6,F,60.8,57,2856
1.05,E,62.2,59,3886
1.28,I,63.6,54,5920
0.41,G,62.7,57,961
0.9,F,63.2,61,3881
0.7,E,60.8,56,3504
0.42,I,61.2,60,803
0.33,G,62.6,58,579
1.05,E,64.1,58,2066
0.35,H,61.6,58,566
0.9,G,63.8,57,3752
0.56,F,61.8,57,1103
1.01,D,61.8,59,6912
0.9,D,63.4,53,4187
0.35,G,61.8,57,1103
0.52,D,62.6,55,1822
0.33,G,62.5,57,579
1,E,60.6,60,4576
1.76,D,61,60,12063
0.53,F,62.9,57,1363
0.3,E,62.4,58,675
1.07,G,62.1,55,4752
0.5,F,62.6,59,1738
0.7,H,62,57,2541
0.39,D,61.4,60,1024
0.51,G,63.7,54,1800
0.59,E,63.8,57,1286
0.59,E,60.7,56,1793
1.53,H,59.9,60,10827
0.9,I,61.6,56,3677
0.38,D,61.8,56,1013
0.35,G,62.8,58,798
